fun	type	Afr	Amh	Grc	Ara	Eus	Bul	Cat	Chi	Hrv	Cze	Dan	Dut	Gus	Eng	Est	Fin	Fre	Ger	Gre	Heb	Hin	Hun	Ice	Ina	Ita	Jpn	Kam	Kor	Lat	Lav	Lit	May	Mlt	Mon	Nep	Nor	Nno	Pes	Pol	Por	Pnb	Ron	Cgg	Rus	Snd	Slo	Slv	Som	Spa	Swa	Swe	Tam	Tel	Tha	Tur	Ukr	Urd	Zul
FunRP	Prep -> NP -> RP -> RP	+	-	-	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	+	-	+	-	+	-	+	+	+	-	+	+
GenericCl	VP -> Cl	+	-	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	+	+	-	+	-	+	+	+	-	+	+
IDig	Dig -> Digits	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
IIDig	Dig -> Digits -> Digits	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
IdRP	RP	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	+
IdetCN	IDet -> CN -> IP	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	-	+	-	+	+	+	-	+	+
IdetIP	IDet -> IP	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	-	+	-	+	+	+	-	+	+
IdetQuant	IQuant -> Num -> IDet	+	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	+	+	-	+	-	+	+	+	-	+	+
ImpP3	NP -> VP -> Utt	-	-	+	-	-	-	-	-	-	-	-	-	+	+	-	+	+	+	+	+	+	-	+	-	-	+	+	-	+	+	-	-	+	+	+	-	-	+	-	+	+	-	-	+	+	-	-	-	-	-	-	-	+	-	-	-	+	+
ImpPl1	VP -> Utt	+	-	+	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
ImpVP	VP -> Imp	+	+	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
ImpersCl	VP -> Cl	+	-	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	+	+	-	+	-	+	+	+	-	+	+
IndefArt	Quant	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+
MassNP	CN -> NP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+
NoPConj	PConj	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
NoVoc	Voc	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
NumCard	Card -> Num	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+
NumDigits	Digits -> Card	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	-	-	+	+	+	+	+
NumNumeral	Numeral -> Card	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+
NumPl	Num	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+
NumSg	Num	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+
OrdDigits	Digits -> Ord	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	+	+	-	-	+	+	-	+	+
OrdNumeral	Numeral -> Ord	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	-	-	+	+	-	+	+
OrdNumeralSuperl	Numeral -> A -> Ord	-	-	-	-	+	-	+	+	-	-	+	+	+	+	-	+	+	+	-	-	-	-	+	-	+	+	+	-	-	-	-	+	-	-	-	+	+	-	-	+	-	-	+	+	-	-	-	-	+	+	+	-	-	-	+	-	-	+
OrdSuperl	A -> Ord	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	-	-	+	+	+	+	+
PConjConj	Conj -> PConj	+	-	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	-	+	+	+	+	+	+
PNeg	Pol	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+
PPartNP	NP -> V2 -> NP	+	+	-	-	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	-	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	-	+	-	-	+	+	-	+	+
PPos	Pol	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+
PartNP	CN -> NP -> CN	-	-	-	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+	-	+	-	+	+	+	-	-	-	+	-	+	-	-	+	+	-	-	+	-	-	+	+	-	-	-	+	+	+	+	-	-	-	+	-	+	+
PassV2	V2 -> VP	+	+	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	+	+	-	+	-	+	+	+	-	+	+
PhrUtt	PConj -> Utt -> Voc -> Phr	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
PositA	A -> AP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
PositAdAAdj	A -> AdA	+	-	-	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	-	+	+	+	-	+	-	-	-	+	+	-	+	+	-	-	+	-	-	-	+	-	-	-	-	+	+	+	-	+	-	-	-	+	+
PositAdvAdj	A -> Adv	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	+	+	-	+	+	+	-	+	+
PossNP	CN -> NP -> CN	-	-	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	-	+	+	+	-	-	-	+	+	+	-	-	+	+	+	-	+	-	-	+	+	-	-	-	+	+	+	+	-	-	-	+	-	+	+
PossPron	Pron -> Quant	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+
PredSCVP	SC -> VP -> Cl	+	-	+	-	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	+	-	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
PredVP	NP -> VP -> Cl	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
PredetNP	Predet -> NP -> NP	+	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	-	-	+	+	-	+	+
PrepIP	Prep -> IP -> IAdv	+	-	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	+	+	-	+	-	+	+	+	-	+	+
PrepNP	Prep -> NP -> Adv	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
ProgrVP	VP -> VP	+	-	+	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	+	+	-	+	-	+	+	+	-	+	+
QuestCl	Cl -> QCl	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	+
QuestIAdv	IAdv -> Cl -> QCl	+	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
QuestIComp	IComp -> NP -> QCl	+	-	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
QuestQVP	IP -> QVP -> QCl	-	-	-	+	-	-	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	-	+	-	+	+	+	-	-	-	-	-	+	+	+	+	+	-	-	+	-	-	-	-	-	-	-	-	+	-	+	-	+	-	-	-	-	+
QuestSlash	IP -> ClSlash -> QCl	+	-	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
QuestVP	IP -> VP -> QCl	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
ReflA2	A2 -> AP	+	-	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	+	+	-	+	+	+	-	+	+
ReflVP	VPSlash -> VP	+	-	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	-	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
RelCN	CN -> RS -> CN	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	-	-	+	+	+	+	+
RelCl	Cl -> RCl	+	-	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	-	+	-	+	+	+	-	+	+
RelNP	NP -> RS -> NP	+	-	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	-	-	+	+	-	+	+
RelS	S -> RS -> S	+	-	+	-	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	-	-	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	-	+	-	+	+	-	-	+	+
RelSlash	RP -> ClSlash -> RCl	+	-	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
RelVP	RP -> VP -> RCl	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	+
SSubjS	S -> Subj -> S -> S	-	+	-	-	+	+	+	+	-	-	+	+	-	+	-	+	+	+	+	-	+	-	+	-	+	+	-	-	-	-	-	-	+	+	+	+	+	+	-	+	+	-	-	+	+	-	-	+	+	-	+	-	+	+	-	-	+	+
SelfAdVVP	VP -> VP	-	-	+	+	-	-	-	+	-	-	-	-	+	+	-	+	+	+	-	+	-	-	+	-	-	+	+	-	+	-	-	-	+	-	-	-	-	-	-	+	-	-	-	+	-	-	-	-	+	-	+	-	+	-	-	-	-	+
SelfAdvVP	VP -> VP	-	-	+	+	-	-	-	+	-	-	-	-	+	+	-	+	+	+	-	+	-	-	+	-	-	+	+	-	+	-	-	-	+	-	-	-	-	-	-	+	-	-	-	+	-	-	-	-	+	-	+	-	+	-	-	-	-	+
SelfNP	NP -> NP	-	-	+	+	-	-	-	+	-	-	-	-	+	+	-	+	+	+	-	+	-	-	+	-	-	+	+	-	+	-	-	-	+	-	-	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	+	-	+	-	-	-	-	+
SentAP	AP -> SC -> AP	+	-	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	+	+	+	+	-	+	+	+	-	+	+
SentCN	CN -> SC -> CN	+	-	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	+	-	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	+	+	-	-	+	+	-	+	+
Slash2V3	V3 -> NP -> VPSlash	+	-	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
Slash3V3	V3 -> NP -> VPSlash	+	+	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
SlashPrep	Cl -> Prep -> ClSlash	+	-	+	-	-	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
SlashV2A	V2A -> AP -> VPSlash	+	-	-	-	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	+	+	-	+	-	+	+	+	-	+	+
SlashV2Q	V2Q -> QS -> VPSlash	+	-	+	-	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
SlashV2S	V2S -> S -> VPSlash	+	-	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	-	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	+	+	-	+	-	+	+	+	-	+	+
SlashV2V	V2V -> VP -> VPSlash	+	-	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	-	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
SlashV2VNP	V2V -> NP -> VPSlash -> VPSlash	+	-	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	-	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
SlashV2a	V2 -> VPSlash	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	+
SlashVP	NP -> VPSlash -> ClSlash	+	+	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
SlashVS	NP -> VS -> SSlash -> ClSlash	+	-	+	-	-	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	-	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
SlashVV	VV -> VPSlash -> VPSlash	+	-	-	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
SubjS	Subj -> S -> Adv	+	-	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	-	+	+	+	-	+	+
TCond	Tense	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	-	+	+
TEmpty	Text	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+
TExclMark	Phr -> Text -> Text	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+
TFullStop	Phr -> Text -> Text	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+
TFut	Tense	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	-	+	+
TPast	Tense	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+
TPres	Tense	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+
TQuestMark	Phr -> Text -> Text	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+
TTAnt	Tense -> Ant -> Temp	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+
Use2N3	N3 -> N2	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	-	-	+	+	-	+	+
Use3N3	N3 -> N2	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	-	+	+
UseA2	A2 -> AP	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	+	+	+	-	+	+	+	+	+	+
UseCl	Temp -> Pol -> Cl -> S	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
UseComp	Comp -> VP	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	+
UseComparA	A -> AP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
UseCopula	VP	-	-	+	+	+	+	+	+	-	-	+	+	-	+	-	+	+	+	+	-	-	+	+	-	+	+	-	+	+	-	-	+	+	+	-	+	+	-	-	+	-	+	+	+	-	-	-	+	+	-	+	-	+	-	-	-	-	+
UseN	N -> CN	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+
UseN2	N2 -> CN	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	-	-	+	+	-	+	+
UsePN	PN -> NP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+
UsePron	Pron -> NP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+
UseQCl	Temp -> Pol -> QCl -> QS	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	+
UseRCl	Temp -> Pol -> RCl -> RS	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	-	+	-	+	+	+	+	+	+
UseSlash	Temp -> Pol -> ClSlash -> SSlash	+	-	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	-	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	+	+	-	+	-	+	+	+	-	+	+
UseV	V -> VP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
UttAP	AP -> Utt	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	+
UttAdv	Adv -> Utt	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
UttCN	CN -> Utt	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
UttCard	Card -> Utt	+	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
