fun	type	Afr	Amh	Grc	Ara	Eus	Bul	Cat	Chi	Hrv	Cze	Dan	Dut	Gus	Eng	Est	Fin	Fre	Ger	Gre	Heb	Hin	Hun	Ice	Ina	Ita	Jpn	Kam	Kor	Lat	Lav	Lit	May	Mlt	Mon	Nep	Nor	Nno	Pes	Pol	Por	Pnb	Ron	Cgg	Rus	Snd	Slo	Slv	Som	Spa	Swa	Swe	Tam	Tel	Tha	Tur	Ukr	Urd	Zul
AdvVPSlash	VPSlash -> Adv -> VPSlash	-	-	-	-	+	+	+	+	-	-	+	-	-	+	+	+	+	+	+	-	+	+	+	-	+	+	-	+	+	-	-	-	+	+	+	+	+	-	-	+	-	-	+	+	-	-	-	+	+	-	+	-	+	-	-	-	+	+
ApposCN	CN -> NP -> CN	+	+	-	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	-	-	+	+	+	+	+
BaseAP	AP -> AP -> ListAP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+
BaseAdV	AdV -> AdV -> ListAdV	-	-	-	-	+	+	-	-	-	-	-	-	+	+	+	+	-	-	-	+	-	+	+	-	-	+	+	+	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	+	-	+	-	-	+
BaseAdv	Adv -> Adv -> ListAdv	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+
BaseCN	CN -> CN -> ListCN	-	-	+	+	+	+	+	+	-	-	+	-	+	+	+	+	+	+	+	+	-	-	+	-	+	+	+	-	-	-	-	-	+	+	-	+	+	+	-	+	-	-	-	+	-	-	-	-	+	+	+	-	+	-	+	-	-	+
BaseDAP	DAP -> DAP -> ListDAP	-	-	-	-	+	-	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	+	-	-	-	-	-	+	+	-	+	-	-	-	-	+
BaseIAdv	IAdv -> IAdv -> ListIAdv	-	-	-	-	+	+	+	-	-	-	+	-	+	+	+	+	+	-	+	+	-	+	+	-	+	+	+	+	-	-	-	-	+	+	-	+	+	-	-	+	-	-	-	+	-	-	-	-	+	+	+	-	+	-	-	-	-	+
BaseNP	NP -> NP -> ListNP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
BaseRS	RS -> RS -> ListRS	+	-	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+
BaseS	S -> S -> ListS	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+
CAdvAP	CAdv -> AP -> NP -> AP	+	+	-	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	+	+	-	+	+	+	-	+	+
CleftAdv	Adv -> S -> Cl	+	-	+	+	-	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
CleftNP	NP -> RS -> Cl	+	-	+	-	-	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
CompAP	AP -> Comp	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	+
CompAdv	Adv -> Comp	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	+
CompCN	CN -> Comp	+	-	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	-	+	-	+	+	+	-	+	+
CompIAdv	IAdv -> IComp	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
CompIP	IP -> IComp	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
CompNP	NP -> Comp	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	+
ComparA	A -> NP -> AP	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	+	+	+	+	-	+	+	+	+	+	+
ComparAdvAdj	CAdv -> A -> NP -> Adv	+	+	+	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	+	+	-	+	+	+	-	+	+
ComparAdvAdjS	CAdv -> A -> S -> Adv	+	-	-	-	-	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	+	+	-	+	+	+	-	+	+
ComplA2	A2 -> NP -> AP	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+
ComplN2	N2 -> NP -> CN	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	-	-	+	+	-	+	+
ComplN3	N3 -> NP -> N2	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	+	+	-	-	+	+	-	+	+
ComplSlash	VPSlash -> NP -> VP	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	+
ComplSlashIP	VPSlash -> IP -> QVP	-	-	-	+	-	-	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	-	+	-	+	+	+	-	-	-	-	-	+	+	+	+	+	-	-	+	-	-	-	-	-	-	-	-	+	-	+	-	+	-	-	-	-	+
ComplVA	VA -> AP -> VP	+	+	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
ComplVQ	VQ -> QS -> VP	+	-	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
ComplVS	VS -> S -> VP	+	-	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	-	+	-	+	+	+	-	+	+
ComplVV	VV -> VP -> VP	+	+	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	-	+	-	+	+	+	-	+	+
ConjAP	Conj -> ListAP -> AP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+
ConjAdV	Conj -> ListAdV -> AdV	-	-	-	-	+	+	-	-	-	-	-	-	+	+	+	+	-	-	-	+	-	+	+	-	-	+	+	+	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	+	-	+	-	-	+
ConjAdv	Conj -> ListAdv -> Adv	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+
ConjCN	Conj -> ListCN -> CN	-	-	+	+	+	+	+	+	-	-	+	-	+	+	+	+	+	+	+	+	-	-	+	-	+	+	+	-	-	-	-	-	+	+	-	+	+	+	-	+	-	-	-	+	-	-	-	-	+	+	+	-	+	-	+	-	-	+
ConjDet	Conj -> ListDAP -> Det	-	-	-	-	+	-	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	+	-	-	-	-	-	+	+	-	+	-	-	-	-	+
ConjIAdv	Conj -> ListIAdv -> IAdv	-	-	-	-	+	+	+	-	-	-	+	-	+	+	+	+	+	-	+	+	-	+	+	-	+	+	+	+	-	-	-	-	+	+	-	+	+	-	-	+	-	-	-	+	-	-	-	-	+	+	+	-	+	-	-	-	-	+
ConjNP	Conj -> ListNP -> NP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
ConjRS	Conj -> ListRS -> RS	+	-	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+
ConjS	Conj -> ListS -> S	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+
ConsAP	AP -> ListAP -> ListAP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+
ConsAdV	AdV -> ListAdV -> ListAdV	-	-	-	-	+	+	-	-	-	-	-	-	+	+	+	+	-	-	-	+	-	+	+	-	-	+	+	+	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	+	-	+	-	-	+
ConsAdv	Adv -> ListAdv -> ListAdv	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+
ConsCN	CN -> ListCN -> ListCN	-	-	+	+	+	+	+	+	-	-	+	-	+	+	+	+	+	+	+	+	-	-	+	-	+	+	+	-	-	-	-	-	+	+	-	+	+	+	-	+	-	-	-	+	-	-	-	-	+	+	+	-	+	-	+	-	-	+
ConsDAP	DAP -> ListDAP -> ListDAP	-	-	-	-	+	-	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	+	-	-	-	-	-	+	+	-	+	-	-	-	-	+
